Name,timeEst,longitude,latitude
Morocco,300,31.791702,-7.09262
Florisbad,259,-28.766591,26.086466
Apidima Cave,210,36.6624937,22.3625653
L,200,32.579278,-2.78874
Kibish Formation,195,4.800223,35.966535
Kibish Formation,195,4.800223,35.966535
Misliya Cave,185,32.733333,35.05
Guomde Formation,180,3.38325,36.333288
Morocco,160,31.791702,-7.09262
Morocco,160,31.791702,-7.09262
Middle Awash,160,10.001119,39.999195
L0,150,35.077948,-12.562119
L1,140,17.656543,-1.250237
Blue Nile,133,11.508461,34.259435
L5,120,27.449218,1.6597
Eliye Springs,100,3.235882,36.022185
Skhul caves,100,32.670667,34.966139
Qafzeh caves,100,32.681463,35.299925
L2,90,13.299656,8.392645
Border Cave,74,-27.0249,31.9889
L3,70,14.02853,34.274205
N,70,57.480631,28.252888
M,60,58.754373,26.488299
R,60,,
U,55,,
RT,55,,
JT,50,,
U8,50,,
R9,47,,
B4,44,,
F,43,,
U4,42,,
U5,35,,
U6,35,,
J,35,,
X,30,,
K,30,,
U5a,27,,
J1a,27,,
T,27,,
K1,27,,
I,26,,
J1,24,,
W,20,,
U4,20,,
X2,20,,
H,20,,
U5a1,18,,
V,14,,
X2a,13,,
H1,12,,
H3,12,,
J1b,11,,
X1,10,,
A,,-59.945089,-3.784475
C,,-59.945089,-3.784475
D,,-59.945089,-3.784475
