hName,hLon,hLat
Morocco,31.791702,-7.09262
Florisbad,26.086466,-28.766591
Apidima Cave,36.6624937,22.3625653
L,32.579278,-2.78874
Kibish Formation,4.800223,35.966535
Kibish Formation,4.800223,35.966535
Misliya Cave,32.733333,35.05
Guomde Formation,3.38325,36.333288
Morocco,31.791702,-7.09262
Morocco,31.791702,-7.09262
Middle Awash,10.001119,39.999195
L0,35.077948,-12.562119
L1,17.656543,-1.250237
Blue Nile,11.508461,34.259435
L5,27.449218,1.6597
Eliye Springs,3.235882,36.022185
Skhul caves,32.670667,34.966139
Qafzeh caves,32.681463,35.299925
L2,13.299656,8.392645
Border Cave,31.9889,-27.0249
L3,14.02853,34.274205
N,57.480631,28.252888
M,58.754373,26.488299
M,124.821940, -21.117055
R,44.809569,35.746512
B,56.687295,46.755539
H,14.750975,50.958427
A,-59.945089,-3.784475
A,47.732104,35.871469
C,-59.945089,-3.784475
D,-59.945089,-3.784475
